actual_pattern,dataset_index,deferred_missing_vs_oracle,diagnostic_pattern,exact_match,expected_terminal_action,final_action,oracle_action,oracle_tools_missing_from_stage5_replay,raw_terminal_penalty,raw_total_cost,raw_total_cost_with_token_penalty,required_pattern,selected_missing_vs_oracle,task_id,terminal_adjustment_reasons
fdddd,88,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,2.8822200000000002,5.88222,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,89,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,2.88082,5.88082,fdddd,[],[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,90,[],fdddd,False,repair_all,repair_subset,repair_all,"[""grant_app_permission"", ""reboot_device"", ""reset_apn_settings"", ""toggle_wifi_calling""]",13.0,15.82951,18.82951,fdddd,"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions""]",[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card[PERSONA:Hard],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fdddd,91,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.61197,6.6119699999999995,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card[PERSONA:None],[]
fdddd,92,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.6435400000000002,6.64354,fdddd,[],[mms_issue]airplane_mode_on|bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|user_abroad_roaming_enabled_off[PERSONA:Easy],[]
fdddd,93,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.79537,6.79537,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,94,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.64249,6.6424900000000004,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card[PERSONA:None],[]
fdddd,95,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.87006,6.8700600000000005,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,96,[],fdddd,False,repair_all,repair_subset,repair_all,"[""grant_app_permission"", ""reboot_device"", ""reset_apn_settings"", ""toggle_data"", ""toggle_roaming"", ""toggle_wifi_calling""]",17.0,19.99569,22.99569,fdddd,"[""bad_wifi_calling"", ""break_apn_mms_setting"", ""break_app_both_permissions"", ""data_mode_off"", ""user_abroad_roaming_enabled_off""]",[mms_issue]bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:Easy],"[""subset_mismatch_base_plus_linear"", ""local_clear_failure_floor_10"", ""local_clear_and_aux_failure_floor_12""]"
fdddd,97,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.53399,6.53399,fdddd,[],[mms_issue]bad_network_preference|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
fdddd,98,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.91948,6.91948,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|unseat_sim_card|user_abroad_roaming_enabled_off[PERSONA:None],[]
fdddd,99,[],fdddd,True,repair_all,repair_all,repair_all,[],0.0,3.64711,6.64711,fdddd,[],[mms_issue]airplane_mode_on|bad_wifi_calling|break_apn_mms_setting|break_app_both_permissions|data_mode_off|user_abroad_roaming_enabled_off[PERSONA:Hard],[]
